word,label
1dollar,0
5dollars,1
8hour,2
9oclock,3
TRUE,4
a,5
abbreviate,6
about,7
above,8
absolutelynothing,9
accent,10
accept,11
access,12
accident,13
accomplish,14
accordion,15
accountant,16
achromatic,17
acquire,18
act,19
action,20
actor,21
add,22
addict,23
address,24
adjust,25
admire,26
admit,27
adopt,28
adult,29
advantage,30
advertise,31
africa,32
after,33
afternoon,34
again,35
against,36
age,37
agency,38
agreement,39
airplane,40
alarm,41
alaska,42
alcohol,43
align,44
alittlebit,45
all,46
all but,47
allgone,48
allofsudden,49
allover,50
allway,51
almost,52
alone,53
alphabet,54
alright,55
always,56
amazing,57
america,58
analyze,59
and,60
angel,61
angry,62
animal,63
animate being,64
announce,65
answer,66
any,67
anyone,68
apart,69
apparel,70
appear,71
apple,72
appointment,73
april,74
archeology,75
area,76
argue,77
arizona,78
arm,79
army,80
arrest,81
arrive,82
art,83
article,84
asia,85
ask,86
assembly,87
assign,88
assist,89
assistant,90
astronaut,91
at,92
athlete,93
atlanta,94
attention,95
attitude,96
audience,97
auditorium,98
aunt,99
australia,100
autism,101
automatic,102
average,103
avoid,104
awake,105
award,106
away,107
awkward,108
axe,109
b,110
baby,111
babysitter,112
bachelor,113
back,114
backbone,115
backout,116
backpack,117
backup,118
backyard,119
bacon,120
bad,121
badge,122
bag,123
bake,124
balance,125
bald,126
ball,127
balloon,128
banana,129
bandage,130
bandaid,131
bank,132
bar,133
barely,134
bark,135
baseball,136
baseballcap,137
basement,138
basic,139
basket,140
basketball,141
bat,142
batch,143
bath,144
bathroom,145
bathtub,146
battery,147
beach,148
beak,149
beanie,150
beans,151
bear,152
beard,153
beast,154
beat,155
beaver,156
because,157
become,158
bed,159
bedroom,160
bee,161
beer,162
before,163
beg,164
behavior,165
behind,166
believe,167
bell,168
belt,169
bend,170
benefit,171
berry,172
best,173
bet,174
better,175
between,176
bib,177
bicycle,178
big,179
bike,180
bind,181
binoculars,182
biology,183
bird,184
birth,185
birthday,186
bison,187
bitch,188
bite,189
biteonarm,190
black,191
blame,192
blank,193
blanket,194
bleed,195
bless,196
blind,197
blinds,198
blink,199
blond,200
blood,201
bloom,202
blouse,203
blow,204
blowcandle,205
blowmind,206
blue,207
blur,208
blush,209
board,210
boat,211
body,212
boil,213
boilingmad,214
bolt,215
bomb,216
bone,217
book,218
boots,219
bored,220
borrow,221
boss,222
boston,223
both,224
bother,225
bottle,226
bottom,227
bounce,228
bound,229
bow,230
bowl,231
bowling,232
bowtie,233
box,234
boxing,235
boy,236
boyfriend,237
bra,238
bracelet,239
brag,240
braids,241
braille,242
brain,243
brainstorm,244
brainwash,245
brave,246
bread,247
break,248
breakdown,249
breakfast,250
breaktime,251
breathe,252
brick,253
bridesmaid,254
bridge,255
bright,256
bring,257
bring down,258
brother,259
brown,260
brush,261
brute,262
buckle,263
budget,264
buffalo,265
bug,266
building,267
bull,268
bullshit,269
bumpy,270
bun,271
burn,272
burp,273
bury,274
bus,275
business,276
busted,277
busy,278
but,279
butter,280
butterfly,281
buy,282
bye,283
c,284
cabinet,285
cafeteria,286
cake,287
calculator,288
calendar,289
california,290
call,291
callattention,292
calltty,293
calm,294
camcorder,295
camel,296
camera,297
camping,298
can,299
canada,300
cancel,301
cancellation,302
cancer,303
candle,304
candy,305
cannon,306
cannot,307
canoe,308
cape,309
caption,310
capture,311
car,312
carbattery,313
cards,314
careful,315
carousel,316
carrot,317
carry,318
carve,319
castle,320
casual,321
cat,322
catapult,323
catch,324
category,325
catepillar,326
catholic,327
cause,328
ceiling,329
celebrate,330
celery,331
cellphone,332
cemetery,333
center,334
cereal,335
certificate,336
chain,337
chair,338
challenge,339
champ,340
champion,341
chance,342
change,343
channel,344
chaos,345
character,346
charge,347
chase,348
chat,349
cheap,350
cheat,351
check,352
cheek,353
cheer,354
cheerleader,355
cheese,356
cheesegrater,357
cherish,358
cherry,359
chew,360
chicago,361
child,362
children,363
chimney,364
chin,365
china,366
chocolate,367
choke,368
chop,369
chopsticks,370
christmas,371
church,372
churn,373
cigar,374
cigarette,375
circle,376
circuswheel,377
city,378
clap,379
clash,380
class,381
clause,382
claw,383
clean,384
clear,385
cleftchin,386
click,387
client,388
climbladder,389
clip,390
clock,391
close,392
closeeyes,393
closet,394
clothes,395
cloud,396
clown,397
clueless,398
coach,399
cocacola,400
cocaine,401
coconut,402
coffee,403
coins,404
cold,405
college,406
color,407
comb,408
come,409
comehere,410
comeout,411
comfortable,412
comment,413
committee,414
communication,415
community,416
commute,417
compass,418
complain,419
complex,420
computer,421
concept,422
concerned,423
conduct,424
confident,425
confidential,426
conflict,427
confused,428
congratulations,429
connection,430
consume,431
